"research_stage","emotion","mean_value"
"Project genesis","interest",5.991
"Reality check","interest",6.017
"Preparations","interest",5.11
"Data collection","interest",5.359
"Data analysis","interest",5.756
"Report writing","interest",5.461
"Waiting for journal","interest",5.044
"Reviews and revisions","interest",4.841
"Post-project stage","interest",5.733
